1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
State: Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Yavatmal,54,9,346,339,112,227,0,2,0,5,8,49,59,0,6,8,1523,1405,18,1253,107,23,4,118,59,57,0,0,0,2,0,34,232,150,17,0,2,0,15,12,3,50,170,71,18,53,0,1,0,91,0,0,7,0,0,0,0,66,0,6,2570,0,0,0,0,54,91,11,0,0,2,0,0,0,0,0,0,5,6,2,0,1,3,61,0,0,0,10,155,1077,224,853,265,61,204,21,65,0,3,3,0,1,0,37,0,1469,3,0,0,1,2,119,34,0,18,0,16,85,0,122,0,34,0,0,646,250,261,135,448,0,614,20,0,50,51,108,277,0,0,39,2287,4,6607
,Total,2103,279,12427,12091,2868,9223,0,11,3,322,233,1488,2744,13,246,314,37978,31652,1124,26915,2798,576,239,6326,3072,2950,9,6,115,172,2,727,9392,4306,2910,82,93,64,2671,432,199,1545,10324,8969,3256,5713,4,12,62,945,53,0,279,136,21,3,0,1933,9,136,80506,0,0,0,0,857,7743,71,40,5,115,66,102,0,0,273,149,845,353,490,9,118,109,4998,49,48,1,716,9365,86756,22836,63920,15412,2979,12433,779,6451,58,652,643,9,260,18,1979,1,112366,81,0,0,1,80,11881,2604,258,461,564,1321,8548,729,11962,23,2088,3,14,24147,5693,7144,11310,24814,26,4014,392,30,449,1184,2735,6584,4,226,919,67652,7028,288879
State: Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bishnupur,8,2,24,24,24,0,0,0,0,0,0,0,11,0,0,0,42,30,0,30,0,0,0,12,8,4,0,0,0,0,0,0,4,0,1,0,0,0,1,3,0,0,18,1,0,1,0,0,0,16,0,0,1,1,0,0,0,5,0,0,115,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,62,41,21,10,0,10,2,1,0,0,0,0,0,0,0,0,75,0,0,0,0,0,9,0,0,0,0,0,9,0,9,0,0,0,0,66,0,0,66,0,0,0,0,0,0,6,0,2,0,0,0,74,25,303
2,Chandel,7,0,1,1,0,1,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,9,3,0,3,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,2,1,3,0,0,0,0,11,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,16,13,71
3,Churachandpur,7,0,3,3,0,3,0,0,0,0,0,0,11,0,0,0,13,0,0,0,0,0,0,13,8,5,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,42,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,13,4,9,16,0,16,6,1,0,0,0,0,0,0,2,0,38,1,0,0,0,1,10,0,0,0,0,0,9,1,11,0,0,0,0,3,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,5,13,112
4,CID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,31,5,1,0,0,4,25,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,50
5,Imphal East,8,3,14,14,14,0,0,0,0,0,0,0,27,0,0,0,87,0,0,0,0,0,0,87,40,46,1,0,0,0,0,0,19,2,7,0,0,0,7,10,0,0,30,0,0,0,0,0,1,19,0,0,10,1,0,0,0,10,0,0,199,1,0,1,1,2,35,0,3,0,20,1,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,37,224,161,63,3,0,3,8,2,0,0,0,0,1,0,3,0,241,0,0,0,0,0,41,0,0,0,0,0,28,13,41,0,0,0,0,68,0,0,68,0,0,0,0,0,0,7,0,6,0,0,0,81,122,722
6,Imphal West,12,2,25,25,25,0,0,0,0,0,0,3,45,0,0,0,80,10,0,5,4,0,1,70,40,30,0,0,0,0,0,0,25,21,1,0,0,0,1,0,1,2,32,4,0,4,0,0,1,9,8,0,10,4,0,0,0,17,3,0,248,2,0,2,2,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,2,2,0,0,18,332,280,52,24,0,24,18,0,0,0,0,0,0,0,22,3,399,0,0,0,0,0,90,23,0,0,3,20,42,25,90,1,0,0,0,132,0,111,21,0,0,0,0,1,1,9,2,7,0,13,5,171,339,1267
7,Senapati,6,0,8,8,0,8,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,35,0,0,0,0,0,5,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,2,7,0,0,0,15,2,0,0,0,0,2,0,0,0,28,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,14,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,17,19,105
8,Tamenglong,3,0,11,11,0,11,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1,0,0,0,8,1,0,0,0,0,0,0,41,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,5,0,0,0,4,1,0,1,1,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,32,0,0,32,0,0,0,0,0,0,3,0,0,0,0,0,35,15,107
9,Thoubal,3,1,18,18,0,18,0,0,0,0,0,0,22,0,0,0,73,6,2,3,1,0,0,67,52,15,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,29,2,0,2,0,1,1,10,0,0,15,0,0,0,0,8,1,0,161,0,0,0,0,0,41,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,41,118,91,27,34,0,34,9,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,37,0,0,0,0,0,15,22,37,5,0,0,0,154,0,0,154,0,0,0,0,0,0,5,1,4,0,8,1,178,45,623
10,Ukhrul,9,1,1,1,0,1,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,3,0,0,0,0,0,3,0,3,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,56
,Total,63,9,105,105,63,42,0,0,0,0,0,3,159,0,0,0,305,46,2,38,5,0,1,259,149,105,1,0,0,0,4,0,66,30,11,0,0,1,10,13,3,9,142,11,0,11,0,5,7,57,8,0,54,8,0,0,0,40,4,0,904,3,0,3,3,2,109,0,9,0,48,1,0,2,0,0,0,0,0,0,0,1,0,48,2,2,0,0,113,785,580,205,90,0,90,65,8,0,1,1,0,3,0,28,3,983,1,0,0,0,1,227,28,1,0,3,24,136,63,228,14,0,0,0,481,0,112,369,0,0,0,0,1,1,40,3,19,0,22,8,589,596,3416
State: Meghalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Garo Hills East,6,1,4,4,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,2,0,2,0,4,0,0,0,0,0,0,0,0,0,12,0,0,40,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,17,17,0,0,0,9,3,0,1,1,0,0,0,1,0,48,0,0,0,0,0,11,0,0,0,0,0,8,3,11,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,118
2,Garo Hills North,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,13,11,5,3,0,3,0,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,11,4,3,1,0,0,1,0,0,0,6,0,0,0,0,3,0,0,34,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,3,1,0,1,0,0,2,0,3,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,5,55,104
3,Garo Hills South,2,0,3,3,0,3,0,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0,0,3,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,23,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,6,0,6,7,1,0,3,3,0,0,0,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,0,0,2,0,13,7,75
4,Garo Hills South West,5,0,6,0,0,0,0,0,0,6,0,0,1,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,55,1,0,1,6,1,0,0,0,0,0,0,0,0,63,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,1,2,0,0,0,9,25,137
5,Garo Hills West,9,3,14,14,0,14,0,0,0,0,0,0,9,0,0,0,16,8,7,0,1,0,0,8,3,5,0,0,0,0,0,0,8,5,2,0,0,0,2,1,0,0,33,0,0,0,0,0,1,3,22,0,7,0,0,0,0,9,4,1,106,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,138,96,42,42,2,40,20,8,0,4,4,0,1,0,13,0,226,1,0,0,0,1,16,4,1,2,0,1,8,4,17,0,2,0,0,18,0,18,0,0,0,0,1,2,0,5,7,7,0,13,8,63,32,451
6,Jaintia Hills West,15,0,14,14,3,11,0,0,0,0,0,0,12,0,0,2,29,8,6,1,1,0,0,21,13,8,0,0,0,0,0,0,8,6,0,0,0,0,0,0,1,1,4,2,0,2,0,0,0,0,0,0,2,0,0,0,0,6,1,1,92,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,4,55,5,0,5,6,11,0,1,1,0,0,0,3,0,85,0,0,0,0,0,15,2,0,0,0,2,12,1,15,0,17,0,0,12,0,12,0,0,0,0,0,0,2,5,1,0,0,27,0,64,6,263
7,Jaintia Hills East,9,1,30,30,0,30,0,0,0,0,0,0,6,0,0,1,19,0,0,0,0,0,0,19,1,17,1,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,13,1,0,1,0,9,1,0,0,0,2,0,0,0,0,13,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,6,41,12,8,4,6,6,0,2,0,2,0,0,7,0,80,1,0,0,0,1,17,0,0,0,0,0,14,3,18,0,0,0,0,21,0,0,21,0,0,0,0,0,0,1,0,0,0,35,0,57,185,442
8,Khasi Hills East,18,1,34,34,5,29,0,0,0,0,0,0,10,0,0,1,47,4,0,2,2,0,0,43,34,9,0,0,0,0,0,1,34,20,11,0,0,0,11,0,0,3,49,20,0,20,0,0,2,5,1,0,21,0,0,0,0,18,3,2,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,424,41,383,175,64,111,9,22,0,4,4,0,0,0,20,0,654,0,0,0,0,0,146,0,0,0,0,0,130,16,146,0,18,0,0,44,6,23,15,0,0,1,2,1,4,33,0,9,0,60,13,185,78,1282
9,Khasi Hills South West,1,0,2,2,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,1,0,1,1,1,0,4,3,1,0,0,2,0,18,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0,8,8,48
10,Khasi Hills West,10,0,5,5,0,5,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,3,2,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,31,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,24,23,2,21,0,2,0,0,0,0,0,0,1,0,51,0,0,0,0,0,9,0,0,0,0,0,9,0,9,0,0,0,0,11,0,2,9,0,0,0,0,0,0,6,1,2,0,0,0,20,49,165
11,Ri-Bhoi,9,1,36,36,8,28,0,0,0,0,1,1,2,0,0,0,16,8,6,2,0,0,0,8,4,4,0,0,0,0,0,0,8,3,2,0,0,0,2,0,0,3,10,7,3,4,0,0,1,0,0,0,2,0,0,0,0,45,11,0,140,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,76,16,60,16,0,16,4,9,0,8,8,0,0,0,3,0,116,0,0,0,0,0,17,0,0,0,0,0,17,0,17,0,91,0,0,28,0,28,0,0,0,0,0,3,0,16,0,0,0,11,0,149,9,436
,Total,87,7,149,143,16,127,0,0,0,6,1,1,49,0,0,4,155,41,25,8,5,3,0,114,64,49,1,0,0,0,0,4,88,60,19,0,0,0,19,1,1,7,148,40,7,33,0,13,8,8,23,0,56,0,0,0,0,119,20,4,836,27,0,27,27,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,7,0,0,12,876,184,692,281,76,205,68,64,0,28,25,3,1,0,54,0,1372,2,0,0,0,2,238,7,1,3,0,3,203,28,240,0,128,0,0,146,10,89,47,0,0,1,3,8,7,71,21,20,0,149,21,575,459,3521
State: Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aizawl,8,3,16,4,4,0,0,0,0,12,0,0,2,2,1,0,34,15,5,8,2,0,0,19,8,9,0,0,2,0,0,2,38,10,23,15,0,0,8,2,2,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,2,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,110,388,333,148,185,1,3,0,0,0,0,0,0,13,0,848,6,0,0,0,6,37,0,0,0,0,0,32,5,43,0,16,0,0,4,0,4,0,0,0,0,0,0,4,11,12,10,0,1,1,59,10,1076
2,Champhai,2,0,7,6,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,18,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,2,43,21,5,16,0,0,0,0,0,0,0,0,0,0,66,2,0,0,0,2,1,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,7,0,96
3,Kolasib,1,0,9,0,0,0,0,0,0,9,0,0,2,0,0,0,7,5,5,0,0,0,0,2,1,1,0,0,0,0,0,3,6,2,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,159,8,151,62,30,32,1,0,0,0,0,0,0,0,2,0,224,3,0,0,0,3,4,0,0,0,0,0,4,0,7,0,2,0,0,4,4,0,0,0,0,0,0,0,12,0,8,2,0,10,0,38,1,302
4,Lawngtlai,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,6,2,2,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,15,5,10,0,1,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,26,1,76
5,Lunglei,3,0,6,6,0,6,0,0,0,0,0,0,5,0,0,0,18,6,2,4,0,0,0,12,11,1,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,6,84,50,26,24,0,1,0,0,0,0,0,0,1,0,142,1,0,0,0,1,10,0,0,0,0,0,9,1,11,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,4,0,13,15,222
6,Mamit,4,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0,7,2,2,0,0,0,0,5,3,2,0,0,0,0,0,0,4,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,52,3,49,35,10,25,2,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,8,0,14,5,132
7,Saiha,1,1,5,5,0,5,0,0,0,0,0,0,1,0,0,0,21,20,20,0,0,0,0,1,1,0,0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,53,25,8,17,1,0,0,0,0,0,0,0,1,0,81,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,1,0,0,3,1,2,0,0,0,0,0,0,3,0,3,1,0,13,0,24,1,148
8,Serchhip,2,0,3,0,0,0,0,0,0,3,0,0,2,0,0,0,3,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,15,23,5,18,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,7,1,66
10,Spl Narcotic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total,21,5,51,22,4,18,0,0,0,29,0,0,13,2,1,0,99,52,37,13,2,0,0,47,29,15,0,0,2,0,1,6,64,23,32,15,0,0,17,4,3,2,4,2,0,2,0,0,0,0,0,0,2,1,0,0,0,25,1,2,295,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,931,131,800,564,237,327,6,5,0,0,0,0,0,0,17,0,1523,12,0,0,0,12,62,0,0,0,0,0,55,7,74,0,24,0,0,12,5,7,0,0,0,0,1,0,24,18,24,20,0,63,2,188,34,2118
State: Nagaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dimapur,17,0,29,27,4,23,0,0,0,2,0,0,28,0,0,2,10,4,4,0,0,0,0,6,4,2,0,0,0,0,0,0,6,3,3,0,0,0,3,0,0,0,49,38,31,7,0,0,3,1,1,0,6,0,0,0,0,2,0,0,143,3,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,242,196,46,40,0,40,92,24,2,2,2,0,0,0,11,0,413,3,0,0,0,3,21,1,1,0,0,0,10,10,24,0,3,0,1,13,4,3,6,0,0,0,0,1,0,2,2,3,0,2,0,27,13,624
2,Kiphire,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,18
3,Kohima,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,32,17,7,4,3,18,2,0,0,0,0,0,0,5,0,81,0,0,0,0,0,8,0,0,0,0,0,6,2,8,0,0,0,0,2,2,0,0,0,1,0,0,0,3,3,3,0,0,8,0,20,1,136
4,Longleng,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,6,0,6,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13
5,Mokokchung,3,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,5,4,0,4,1,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,3,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,2,34
6,Mon,3,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,26,4,1,3,9,4,0,1,1,0,0,0,0,0,47,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,69
7,Peren,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24
8,Phek,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,5,0,0,0,11,0,0,1,1,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,38
